source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
C17,C36,H2-K1,Aplp2,7.1041665,0.614,8.489583,-0.10420082658044735,-5.305158768834836,0.16970621,0.7815637,1.0,0.14409874957073843
C17,C36,App,Cd74,4.71875,1.0,18.632814,0.08050814855244684,-inf,0.03179232,0.84128827,1.0,0.14605831866266894
C36,C17,Angptl4,Itga5_Itgb1,0.18229166,0.469,0.03190104,0.033283104941577685,0.07771218600428431,0.32941177,0.17987774,0.9195520905026089,0.14766054281920232
C36,C17,Adam15,Itga5,0.18229166,1.0,0.03190104,-0.3064512482349901,-1.245423209527461,0.053625174,0.17987774,1.0,0.14766054281920232
C36,C17,Apoe,Lrp1,4.6875,1.0,11.000001,0.00722425277577754,-inf,0.031732917,0.8028701,1.0,0.1481699826553708
C36,C17,Hspa8,Ldlr,9.734375,0.0,8.326173,0.1162662479007234,47.717861900890185,0.30589843,0.77990013,0.38258292475598527,0.14831252994791055
C36,C17,Tgfb1,Itgb1,4.682292,0.0,13.807293,0.18450227573438488,18.399898381348297,0.3793007,0.820241,0.15813542962328453,0.1502950996266009
C36,C36,Tgfb1,Itgb1,4.6484375,0.0,13.297363,0.16621185439028155,11.149499982095863,0.36529243,0.8174499,0.18720013244409367,0.15243366397707278
C17,C36,F13a1,Itga4,4.645833,0.0,18.222656,0.421130063186647,37.14317055675215,0.71254617,0.83979654,0.007045013481659333,0.15458557545972182
C36,C17,Tgfb1,Itgb5,4.640625,0.0,13.179689,0.47580866087353735,19.220295173891714,0.73153013,0.81678575,0.007045013481659333,0.15675082827782355
C36,C17,Gnai2,Adcy7,6.046875,0.0,7.8417974,0.23012975230354343,15.885207431207155,0.37222746,0.77471286,0.17451331333927456,0.15908196748475711
C17,C36,Ado,Adora2a,0.18489581,0.221,0.03222656,0.061365315602934185,0.10459650282882457,0.3813804,0.18062781,0.6360243533154013,0.16083867738207366
C17,C17,Pf4,Lrp1,4.5520835,0.385,10.627605,0.360346941139446,-166.10298344185804,0.59194255,0.8001304,1.0,0.16112124146284246
C36,C17,Gnas,Adcy7,5.96875,0.0,7.7343755,0.2812864267649485,17.35149420114943,0.4524508,0.7735068,0.08006571465772094,0.1612758505613095
