source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
C17,C17,Apoe,Trem2,113.30417,0.0,1041.159,0.11763581927378869,439.212803097776,0.96903634,0.98155135,0.02042844671814499,1.1456400310275773e-05
C17,C17,Apoe,Abca1,111.629166,0.0,297.7381,0.09196044026252251,435.4699033178013,0.90754277,0.966046,0.02042844671814499,0.00010295232025446538
C17,C17,Apoe,Lrp1,111.60417,0.0,286.6423,0.0951598460814988,433.46311174372386,0.96903634,0.96541756,0.02042844671814499,0.0001828883181963682
C17,C17,Apoe,Lrp6,111.50834,0.0,244.10832,0.08197980456314873,430.863443870096,0.68569237,0.96263367,0.08002584207555329,0.0002855473034726378
C17,C36,Apoe,Sorl1,111.41288,0.0,201.74242,0.44462382983415405,430.3484368147514,0.7387824,0.9590501,0.011242056755140653,0.00041087758578976216
C17,C36,Apoe,Scarb1,111.231064,0.0,121.04546,0.24672501180807443,429.8899597149495,0.6251847,0.9477564,0.04222780077717269,0.0009223782116244422
C17,C36,Apoe,Lrp6,111.18561,0.0,100.871216,-0.14722774021265247,428.42073160453293,0.28334397,0.94305396,0.25669871931544846,0.0016360567813342533
C17,C17,App,Cd74,96.737495,0.0,591.7232,0.08069708821127755,inf,0.96973187,0.9756748,0.02042844671814499,0.0022234734852296504
C17,C17,Apoe,Ldlr,111.15,0.0,85.068054,0.06835612683981386,430.1647024203642,0.5662037,0.9383022,0.16006849888857466,0.0022234734852296504
C36,C17,Copa,Cd74,95.68333,0.0,190.36665,0.28242570919195165,inf,0.6270744,0.95789504,0.03553045097920996,0.0025505156954108233
C17,C17,Copa,Cd74,95.47916,0.0,112.6336,0.019975397286542317,inf,0.37101904,0.9459442,0.03599527180775046,0.002899711537987064
C17,C17,Apoe,Scarb1,111.10834,0.0,66.57502,0.045867468961248714,429.3942157596794,0.34385166,0.930814,0.2296464305666106,0.002899711537987064
C17,C36,Lyz2,Itgal,47.807587,0.0,111.603065,0.5276656459909181,367.88380717476394,0.7661453,0.9457087,0.0068142038915840995,0.0032710092521444018
C17,C17,Apoe,Sorl1,111.100006,0.0,62.876404,0.027726743975524784,428.93573865987753,0.2302539,0.9289507,0.25669871931544846,0.004079703251946475
C17,C36,H2-Aa,Lag3,35.592052,0.0,63.88638,0.9575352344041672,190.3899151844263,0.9417758,0.9294749,0.0006225998600870741,0.004079703251946475
C17,C36,Apoe,Ldlr,111.094696,0.0,60.52273,0.00139419858736399,429.1194730542647,0.4028327,0.9276814,0.2468921590633432,0.004516996015963264
C17,C36,App,Rpsa,32.099625,0.0,189.89098,0.8034255977062712,101.31762079724555,0.78228074,0.9578446,0.0012584997482385214,0.004976183608305261
C17,C36,H2-Eb1,Lag3,30.412886,0.0,54.46971,0.9558098244351143,203.5251958385664,0.94499964,0.92406607,0.0006225998600870741,0.0054572142681584895
C17,C17,Apoe,Lrp5,111.07917,0.0,53.629883,0.06818037462446709,429.72116003173517,0.55299217,0.92351913,0.1645192369380919,0.0059600370824707295
C17,C36,C1qb,C1qbp,25.77652,0.0,81.68184,0.4591140990786966,72.51474218149946,0.7236181,0.9371159,0.01038592271236717,0.0064845986307386526
C17,C17,C1qa,Cd93,25.750006,0.0,54.20687,0.08567512406439441,81.684679705892,0.5180722,0.9238962,0.12165557060332978,0.007030847963990472
C17,C36,C1qa,Cd93,25.712505,0.0,50.42501,0.057865441155808946,81.64644914750252,0.48192775,0.9213144,0.2058613932090642,0.007598733321412213
C17,C17,C1qb,Lrp1,25.604172,0.0,64.47569,0.11522595097514299,74.90202645522916,1.0,0.9297753,0.02042844671814499,0.008188202942189903
C17,C36,Apoe,Lrp5,111.04925,0.0,40.348488,0.0033114954820568296,429.56301544289374,0.41604415,0.9128447,0.21234133646021416,0.008799206091587897
C17,C36,H2-Ab1,Lag3,24.179546,0.0,43.136364,0.9558085418014834,131.27385613948005,0.93355846,0.91546607,0.0006225998600870741,0.009431687930557237
C17,C36,Tnfsf12,Tnfrsf25,0.14507577,0.012,0.01969697,0.2994863831935845,0.26937352628536937,0.8135593,0.18792531,0.6408760909938723,0.010146553071543826
C36,C17,Rps19,C5ar1,22.599243,0.0,87.08331,0.7830065340764365,59.70663946342283,0.752533,0.9389764,0.0016886513346640651,0.010760888842580696
C17,C17,Lyz2,Itgal,47.387512,0.0,32.264736,-0.0020963040070239025,366.87692391448485,0.22149459,0.90353066,0.25669871931544846,0.011457504535122509
C17,C17,Psap,Lrp1,13.100001,0.0,32.17326,0.07555467317706785,105.6048606505956,0.88386786,0.90340686,0.02042844671814499,0.012175391591748502
C36,C17,Hspa8,Adrb2,10.056439,0.009,46.4,0.4043087460535428,8.13708378250563,0.5711385,0.91824573,0.0723012345679012,0.01291450299046586
C17,C17,C1qb,C1qbp,25.270838,0.0,31.197922,0.04830396713700333,69.64726271614009,0.2763819,0.9020553,0.25669871931544846,0.013674782091548866
C36,C17,Ccl4,Ccr1,9.668181,0.0,29.981812,0.8212246390745847,5.715551580963884,0.472665,0.90028477,0.06978283201601447,0.014456182152844197
C17,C17,App,Rpsa,8.945835,1.0,45.951553,-0.03141744578823475,-72.36652918036864,0.18930344,0.9178805,1.0,0.016082127935745743
C36,C17,Ccl4,Ccr5,9.618182,0.0,28.218174,0.8436186355117713,12.607543467299923,0.85384655,0.8975304,0.003199412059323367,0.01692657281871547
C36,C36,Ccl4,Ccr1,9.590909,0.0,27.256199,0.7861276577327412,0.643490993839996,0.42969555,0.8959243,0.25687745588756206,0.017791926252658713
C36,C17,Nampt,Itga5_Itgb1,0.14924243,0.905,0.021212121,-0.17685795100235688,-0.5954155725065243,0.06770521,0.19364558,1.0,0.020270201969274766
C36,C36,Vim,Cd44,8.545455,0.0,22.743803,1.3352267537723579,10.644881144490434,0.69344884,0.88717896,0.006088037214939838,0.024430582377385435
C36,C17,Rspo3,Znrf3,0.16174242,0.002,0.025757577,0.6820716794533104,0.27656730535258817,0.6091205,0.20925602,0.31057204434253577,0.03037097257361583
C17,C17,Hspa8,Adrb2,6.904166,0.923,29.640415,0.005366392712049785,4.23063424569484,0.3648444,0.89976954,1.0,0.038137989316156584
C17,C17,Rps19,C5ar1,6.870834,1.0,23.645414,-0.03542001596455242,-49.05573501534202,0.20433253,0.88910997,1.0,0.03941070822676482
C36,C17,Irak4,Tlr6,0.19469698,0.571,0.03181818,-0.052145995205755684,-0.054229402796695136,0.42654023,0.22727522,1.0,0.04044889076499
C17,C17,H2-K1,Aplp2,8.591666,0.424,15.421662,0.0050679854800866325,20.88866118139607,0.2640532,0.8662249,0.8499716269826044,0.040703243131290326
C17,C17,Mrc1,Ptprc,6.816668,0.0,36.753345,0.062024685595518325,39.4076388654049,0.6194825,0.90906006,0.14759416596251487,0.040703243131290326
C17,C17,Grn,Tnfrsf1a,6.375001,0.0,16.874998,0.07827496482269362,24.354269680853186,0.58129597,0.8713574,0.13393125661917105,0.04334757888757431
C17,C17,B2m,Hfe,7.691666,0.049,14.939232,0.04430211022041808,12.761235341059713,0.51314294,0.8643727,0.29317626338795594,0.046070599953444896
C17,C36,Mrc1,Ptprc,6.103031,0.714,22.575764,-0.20921266627507254,30.148318278365274,0.3805175,0.88680726,1.0,0.047461480227696765
C17,C36,H2-K1,Aplp2,8.571212,0.48,14.757575,-0.013220029981236574,20.326563681237754,0.2526826,0.86365396,0.9778613712812136,0.047461480227696765
C17,C36,Il18,Il1rl2,0.17840911,0.118,0.03181819,0.21625491278363698,-1.0091931399871208,0.16916573,0.22727524,1.0,0.05050398035192876
C36,C17,H2-K1,Aplp2,8.065908,0.573,14.422723,-0.036999098866894946,-20.326563681237754,0.24694915,0.8622969,1.0,0.051751006235908795
